Title, Studio, Country code, UPC, EAN, ASIN, Release date, Slipcover, Casing, Memorabilia, Blu-ray discs, DVD discs, Digital copy, Date added, Watched, Comment, Retailer, Price, Price comment
"""Up"",""Disney / Buena Vista"",ES,,8717418234621,B0053CASWA,December 2 2009,1,Standard Blu-ray case,0,2,1,1,,1,,,,",,,,,,,,,,,,,,,,,,
"""WALL•E 4K"",""Criterion"",US,715515279413,0715515279413,B0BDMTDSHK,November 22 2022,0,DigiPack,0,3,0,0,August 25 2023,1,,,,",,,,,,,,,,,,,,,,,,
